,From,To,Date,Subject,Group,from,to,Department,Sentiment Score
0,Sven.Flecha@gastech.com.kronos,Isak.Baza@gastech.com.kronos,2014-01-06 08:39:00,GT-SeismicProcessorPro Bug Report,True,SvenFlecha,IsakBaza,InformationTechnology,0.0
1,Sven.Flecha@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,2014-01-06 08:39:00,GT-SeismicProcessorPro Bug Report,True,SvenFlecha,LucasAlcazar,InformationTechnology,0.0
2,Kanon.Herrero@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,FelixResumir,Security,0.0
3,Kanon.Herrero@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,HidekiCocinaro,Security,0.0
4,Kanon.Herrero@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,IngaFerro,Security,0.0
5,Kanon.Herrero@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,VarjaLagos,Security,0.0
6,Kanon.Herrero@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,KanonHerrero,Security,0.0
7,Kanon.Herrero@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,StenigFusil,Security,0.0
8,Kanon.Herrero@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,HennieOsvaldo,Security,0.0
9,Kanon.Herrero@gastech.com.kronos,Isia.Vann@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,IsiaVann,Security,0.0
10,Kanon.Herrero@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,EdvardVann,Security,0.0
11,Kanon.Herrero@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,2014-01-06 08:58:00,Inspection request for site,True,KanonHerrero,LoretoBodrogi,Security,0.0
12,Bertrand.Ovan@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,2014-01-06 09:28:00,New refueling policies - Effective February 1,True,BertrandOvan,EmileArpa,Facilities,0.4767
13,Bertrand.Ovan@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,2014-01-06 09:28:00,New refueling policies - Effective February 1,True,BertrandOvan,VarroAwelon,Facilities,0.4767
14,Bertrand.Ovan@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,2014-01-06 09:28:00,New refueling policies - Effective February 1,True,BertrandOvan,DanteCoginian,Facilities,0.4767
15,Bertrand.Ovan@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,2014-01-06 09:28:00,New refueling policies - Effective February 1,True,BertrandOvan,AlbinaHafon,Facilities,0.4767
16,Bertrand.Ovan@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,2014-01-06 09:28:00,New refueling policies - Effective February 1,True,BertrandOvan,BenitoHawelon,Facilities,0.4767
17,Bertrand.Ovan@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,2014-01-06 09:28:00,New refueling policies - Effective February 1,True,BertrandOvan,ClaudioHawelon,Facilities,0.4767
